loan_amount,term_months,interest_rate,installment,annual_income,dti_ratio,fico_score,employment_length,open_credit_lines,revol_util,credit_history_years,num_delinquencies,home_ownership_encoded,loan_purpose_encoded,state_encoded,default
29800.0,36,17.4,858.54,56000.0,4.65,612,8,3,23.71,23,2,1,0,44,0
29200.0,36,5.88,483.6,53000.0,22.73,501,4,1,27.24,29,0,1,8,10,0
42200.0,36,6.64,676.49,79000.0,8.57,606,3,11,58.47,24,0,2,6,10,1
21900.0,36,13.79,367.56,79000.0,15.72,546,6,13,9.88,29,2,2,2,16,1
43500.0,36,10.0,582.98,74000.0,3.91,667,0,12,50.19,29,0,0,5,15,0
24100.0,60,2.68,560.88,77000.0,14.1,704,8,10,56.7,15,0,0,7,25,1
23300.0,36,6.72,284.27,58000.0,3.85,525,4,12,39.47,28,0,0,1,39,0
21500.0,36,19.36,920.09,61000.0,8.31,666,7,7,58.51,17,3,1,9,42,0
26300.0,36,9.02,479.66,16000.0,26.49,695,8,2,49.25,28,0,0,6,0,1
20200.0,60,3.09,389.79,43000.0,36.62,748,10,2,32.62,29,0,1,3,16,0
25200.0,60,4.2,1091.17,39000.0,45.43,666,5,11,16.15,7,1,2,2,10,0
20800.0,36,5.98,1024.73,45000.0,54.05,794,8,1,29.85,1,0,1,7,6,0
66300.0,60,9.01,220.04,39000.0,18.87,828,0,2,45.01,27,1,0,4,1,1
21200.0,60,11.1,578.97,15000.0,23.78,774,10,3,27.27,8,2,1,5,35,1
33400.0,60,8.77,1525.0,43000.0,37.73,726,6,6,23.67,2,1,2,7,26,0
15700.0,36,19.68,44.11,90000.0,37.18,571,5,3,20.48,28,1,2,7,13,1
100.0,60,7.07,1076.68,14000.0,52.31,687,5,10,26.22,13,0,2,5,26,0
18400.0,60,9.07,669.2,46000.0,9.35,727,0,13,23.09,22,0,1,6,13,0
3600.0,36,8.04,585.28,16000.0,39.08,764,10,10,47.22,28,0,2,8,4,0
1000.0,36,0.34,889.66,73000.0,31.41,799,5,5,0.0,4,1,0,0,35,0
41000.0,36,6.53,631.28,33000.0,15.79,685,8,1,56.52,7,1,0,2,20,1
29400.0,36,9.46,495.77,30000.0,28.79,619,7,6,23.47,19,3,1,5,21,0
21600.0,36,10.41,388.48,69000.0,12.08,603,9,11,10.97,11,0,1,7,6,0
29800.0,36,12.21,333.47,64000.0,11.98,638,7,3,50.53,27,0,2,0,45,0
2400.0,36,3.83,394.88,55000.0,29.8,698,10,12,50.19,13,0,0,4,3,0
54500.0,36,10.47,34.53,38000.0,31.15,733,5,6,14.93,16,1,2,4,38,1
27700.0,60,16.59,616.15,48000.0,14.88,686,5,1,36.14,6,1,1,6,33,0
32700.0,36,9.53,307.63,62000.0,13.87,676,1,9,33.17,16,1,2,1,49,1
23000.0,60,13.18,699.0,75000.0,7.83,569,2,4,58.67,4,1,2,6,38,0
40300.0,36,20.41,365.91,109000.0,19.91,550,8,2,32.38,22,2,0,9,39,1
28900.0,60,8.69,725.89,79000.0,2.24,509,0,10,78.74,25,2,0,5,7,0
28000.0,60,5.3,223.02,50000.0,22.86,689,4,5,20.65,1,1,0,1,2,1
20000.0,60,17.16,639.44,30000.0,20.0,594,10,4,21.68,12,4,0,1,5,0
19400.0,36,4.32,546.45,55000.0,16.35,738,3,4,60.59,21,4,1,0,2,0
27600.0,60,14.93,605.24,54000.0,9.2,622,2,7,17.18,9,1,1,8,46,0
52500.0,36,15.25,153.36,59000.0,15.23,539,3,5,42.7,17,1,0,7,39,1
52400.0,36,16.64,1087.82,99000.0,28.91,470,10,9,43.92,6,0,1,2,41,1
1800.0,60,8.25,139.95,48000.0,18.96,714,2,2,4.09,10,0,2,5,10,0
55200.0,36,10.81,228.44,46000.0,20.56,678,5,6,67.71,12,0,2,5,48,1
47000.0,36,3.68,157.22,73000.0,5.24,762,2,14,38.01,14,0,2,4,5,1
36700.0,36,8.45,11.93,49000.0,18.73,672,9,5,31.8,20,0,2,4,10,1
35100.0,36,6.85,52.75,45000.0,12.87,705,1,4,33.13,25,0,1,9,28,1
78900.0,36,4.75,489.04,48000.0,37.13,613,0,5,47.1,28,0,2,2,3,0
44800.0,36,11.41,595.07,32000.0,24.94,697,4,11,53.45,21,1,1,7,23,0
23300.0,36,7.29,1005.24,79000.0,6.93,604,3,4,79.0,6,3,0,5,44,1
11000.0,60,13.68,647.52,29000.0,3.0,647,2,5,45.18,23,0,1,6,49,0
25900.0,36,0.55,618.68,97000.0,5.7,620,1,2,25.32,10,0,0,9,47,1
56600.0,60,6.77,387.14,92000.0,26.4,655,2,2,43.18,21,1,2,7,33,0
10600.0,60,5.31,375.89,42000.0,18.54,738,2,3,35.98,19,0,2,5,30,0
3400.0,60,3.1,789.51,83000.0,22.32,731,0,14,52.61,23,3,2,4,10,0
26900.0,60,19.22,683.3,76000.0,10.2,716,9,8,63.56,18,1,1,9,5,0
32200.0,60,12.11,226.8,74000.0,25.51,563,9,6,59.85,4,3,2,2,25,1
800.0,60,6.29,890.34,91000.0,17.7,676,1,11,28.15,6,1,1,2,6,0
700.0,60,0.89,349.07,50000.0,31.43,680,6,8,46.15,24,1,2,0,0,0
31100.0,36,3.23,406.81,82000.0,3.21,584,0,3,55.62,17,2,0,9,4,0
1500.0,36,2.54,676.97,45000.0,42.21,809,3,10,81.84,19,2,1,8,26,0
13300.0,36,8.05,50.82,23000.0,35.21,799,3,1,8.6,9,1,2,7,3,0
35200.0,60,16.58,880.18,65000.0,17.19,616,8,1,55.11,4,0,0,4,23,0
61600.0,60,12.14,1089.21,28000.0,44.01,611,0,10,24.71,5,1,1,6,47,0
8000.0,60,13.69,107.84,82000.0,1.77,610,3,7,44.54,5,1,1,2,35,1
35100.0,36,9.89,402.82,79000.0,16.72,653,1,12,45.38,8,1,0,4,2,0
15600.0,60,8.42,601.62,49000.0,32.69,712,6,13,15.43,27,0,1,5,7,0
24000.0,36,4.65,789.23,51000.0,33.58,690,10,9,50.27,5,0,1,7,36,0
3600.0,60,7.04,645.95,38000.0,26.27,684,5,12,46.28,9,0,0,4,48,0
42000.0,36,8.89,497.67,28000.0,33.18,807,9,9,52.12,17,1,2,3,4,0
500.0,60,6.76,975.25,51000.0,42.92,812,2,2,39.64,21,2,1,7,1,0
19000.0,36,9.65,1051.06,40000.0,52.01,707,5,11,19.91,15,0,1,8,7,0
43100.0,60,8.01,374.43,63000.0,3.35,635,6,4,35.93,26,1,2,7,31,1
33200.0,36,11.84,622.87,77000.0,7.18,537,4,8,4.02,1,1,1,5,16,0
17700.0,60,7.84,349.4,53000.0,5.58,680,5,1,39.22,21,0,2,9,20,1
26200.0,36,8.47,200.63,37000.0,25.67,668,7,8,55.15,1,1,2,7,48,1
43800.0,60,5.22,144.21,41000.0,27.08,735,10,12,57.32,13,0,2,8,18,1
2400.0,36,10.12,229.38,55000.0,19.48,671,2,12,32.68,25,1,2,7,15,1
20200.0,60,3.55,95.63,1000.0,42.68,747,2,13,5.39,21,0,2,3,13,1
43900.0,36,9.26,767.83,39000.0,30.93,596,0,8,42.3,21,1,1,5,4,0
31600.0,60,11.12,165.49,63000.0,20.64,744,2,12,34.41,15,1,1,8,2,0
25800.0,36,11.22,73.98,37000.0,35.53,715,2,13,27.87,23,1,2,4,14,1
6100.0,60,3.64,194.1,59000.0,26.86,861,7,10,43.02,18,0,0,7,30,0
24300.0,36,4.36,1254.13,44000.0,51.23,676,7,5,19.52,8,0,2,8,46,0
8000.0,36,9.65,975.24,24000.0,50.31,767,3,1,24.7,29,2,2,4,34,0
13800.0,60,5.72,385.65,46000.0,29.75,782,3,13,22.31,29,1,2,7,4,0
31100.0,60,16.99,588.01,25000.0,24.1,730,3,14,15.84,11,0,2,8,27,0
2500.0,60,8.54,852.64,25000.0,47.93,755,3,4,51.85,18,3,1,8,20,0
31000.0,60,8.72,508.14,26000.0,33.32,692,6,5,35.65,7,1,0,1,10,1
39600.0,36,4.1,643.52,40000.0,35.03,664,7,13,37.27,18,1,1,3,2,1
6500.0,60,17.06,799.25,75000.0,20.85,706,1,5,28.31,27,0,2,0,4,0
19900.0,60,10.78,320.42,70000.0,11.92,557,1,2,53.96,20,1,2,4,2,0
12000.0,60,15.95,366.19,37000.0,7.82,643,6,7,13.78,27,0,0,9,34,0
27200.0,60,11.47,260.94,36000.0,10.43,606,4,13,33.63,1,0,1,8,8,0
36400.0,60,11.16,787.76,53000.0,15.96,693,3,8,79.66,26,1,0,7,7,0
14700.0,36,1.28,463.19,20000.0,35.49,611,10,5,38.62,14,1,1,2,5,0
1800.0,60,10.8,601.55,41000.0,11.68,686,1,14,35.12,9,2,1,4,6,0
1700.0,60,1.71,1167.77,46000.0,35.21,734,8,7,39.84,17,0,2,6,32,0
33500.0,60,0.78,1202.89,28000.0,69.91,765,7,13,55.3,28,3,1,3,3,0
15000.0,36,16.83,1031.44,48000.0,9.71,669,5,14,38.06,27,1,2,7,40,0
10400.0,60,2.99,201.25,52000.0,17.13,692,1,14,60.54,13,0,1,2,25,0
16100.0,60,14.53,699.47,104000.0,26.44,659,5,8,21.43,17,1,0,5,27,0
32400.0,36,4.25,26.2,42000.0,6.29,758,9,6,41.43,12,1,1,5,20,0
4300.0,36,8.46,502.74,48000.0,5.16,668,4,4,59.76,15,1,0,4,40,0
34800.0,36,10.98,624.85,27000.0,13.62,725,10,13,37.18,29,1,1,8,6,1
35500.0,60,0.02,819.28,74000.0,32.0,695,9,4,36.59,7,2,1,6,6,1
7200.0,36,11.86,783.72,5000.0,44.74,801,0,13,51.91,18,1,2,0,8,1
23700.0,60,7.44,230.51,42000.0,30.73,695,5,12,68.98,23,0,1,4,28,0
50100.0,36,12.95,1133.93,48000.0,31.18,570,10,6,20.74,4,0,2,0,40,0
20400.0,60,3.89,334.75,74000.0,12.31,504,3,1,8.54,13,0,0,4,3,0
60200.0,60,9.35,132.72,55000.0,15.44,770,6,14,41.6,16,1,0,3,36,1
6200.0,36,7.81,808.54,50000.0,13.01,659,9,12,47.2,20,0,2,7,11,0
15400.0,36,4.19,44.16,63000.0,15.44,715,1,14,57.01,27,0,0,2,15,1
19800.0,36,5.2,1358.04,64000.0,47.07,670,4,14,47.89,3,2,2,0,38,0
36600.0,36,22.57,458.59,57000.0,9.94,579,6,12,50.19,9,1,2,8,40,1
28400.0,36,15.69,1067.43,33000.0,24.02,671,6,1,27.65,16,3,1,5,22,0
69200.0,36,4.33,1136.41,70000.0,40.03,824,1,14,47.62,15,2,1,7,15,0
65700.0,36,21.92,382.19,79000.0,6.12,667,1,9,43.34,20,3,0,6,17,1
19400.0,36,4.56,8.01,55000.0,25.37,820,10,13,62.19,22,1,0,2,7,0
19700.0,36,15.55,708.85,69000.0,3.77,662,9,13,59.09,17,1,2,7,21,0
5600.0,60,2.05,405.99,28000.0,43.96,821,10,9,11.57,19,0,1,4,37,0
13000.0,60,5.02,155.74,48000.0,34.86,709,7,6,30.91,8,0,0,1,45,0
53700.0,36,0.1,102.1,93000.0,4.71,725,1,3,55.57,9,0,0,0,23,1
30900.0,36,13.05,807.04,56000.0,6.62,663,5,6,34.93,10,0,2,2,11,0
19600.0,36,10.77,948.16,48000.0,5.35,603,7,14,39.39,5,0,0,8,21,0
400.0,60,8.59,661.34,30000.0,40.15,788,1,2,46.46,25,1,1,9,7,0
20800.0,60,11.37,1128.85,22000.0,31.01,890,1,3,33.61,16,1,1,8,41,1
10800.0,36,6.6,385.36,39000.0,14.86,679,8,14,31.31,7,2,2,6,5,0
14800.0,36,9.34,480.5,38000.0,3.66,664,2,12,67.42,7,1,2,2,18,0
8400.0,60,3.92,341.6,51000.0,27.1,683,4,4,60.24,12,0,1,0,39,1
62400.0,36,10.21,307.07,78000.0,0.85,689,10,6,22.41,29,2,1,7,29,0
50300.0,60,10.21,632.3,55000.0,0.37,546,3,5,33.87,23,0,0,7,3,0
2800.0,36,9.02,435.4,62000.0,4.79,570,4,7,46.07,16,2,1,4,28,1
50800.0,60,14.6,266.24,87000.0,16.46,728,0,8,78.73,9,0,0,1,48,0
7000.0,60,7.46,215.12,34000.0,32.92,711,10,14,8.31,14,2,2,3,1,1
33500.0,60,3.83,595.36,24000.0,53.07,762,0,14,14.86,25,0,2,5,48,0
5700.0,60,4.06,389.94,58000.0,18.79,710,2,4,48.47,3,2,2,7,34,0
13000.0,60,6.72,1288.95,39000.0,34.06,735,2,5,65.53,4,1,1,1,21,0
64100.0,36,5.89,540.87,57000.0,18.19,706,10,3,23.82,16,1,0,4,42,1
26900.0,60,13.32,715.22,47000.0,2.57,703,4,8,39.5,12,1,0,9,13,0
17000.0,60,9.2,73.76,7000.0,5.86,639,6,10,70.04,9,0,0,8,45,1
4900.0,60,3.81,432.38,31000.0,29.61,744,9,11,8.36,14,1,2,8,0,0
2200.0,60,6.48,795.59,59000.0,9.24,682,0,10,0.0,23,3,1,8,16,0
16000.0,60,7.1,201.97,45000.0,21.97,716,7,14,18.91,1,2,1,2,33,1
5200.0,60,18.36,73.78,93000.0,28.63,666,8,12,16.18,1,0,1,2,2,1
35300.0,36,10.78,825.0,52000.0,28.87,631,7,11,34.88,6,1,0,1,11,0
57900.0,60,14.5,1412.84,72000.0,23.1,539,1,1,43.51,18,0,2,0,28,0
26600.0,60,2.94,319.7,45000.0,17.08,616,4,9,48.72,2,0,1,9,7,0
4700.0,60,8.02,178.55,106000.0,8.23,609,3,11,60.74,28,3,2,7,11,1
28200.0,60,14.89,183.4,13000.0,12.5,686,0,14,60.58,27,1,0,7,5,1
8800.0,36,6.69,854.06,50000.0,26.35,600,2,6,52.34,1,0,0,8,44,0
33100.0,36,5.49,493.1,68000.0,18.9,696,3,6,26.99,15,1,2,9,17,0
12800.0,36,5.14,728.42,80000.0,12.29,690,8,1,13.02,9,2,1,4,22,0
17000.0,36,14.28,368.22,85000.0,25.96,569,4,7,70.07,12,0,2,9,44,1
3000.0,60,8.82,618.15,34000.0,30.04,746,4,2,21.28,26,0,2,9,24,0
34700.0,36,10.73,171.96,88000.0,8.74,568,0,8,32.26,26,1,0,2,44,1
12200.0,60,8.81,255.35,36000.0,4.4,753,9,5,52.85,20,2,1,8,15,0
48600.0,60,8.97,830.47,43000.0,27.45,756,7,1,68.58,17,0,1,6,6,0
7500.0,60,13.38,647.03,32000.0,14.71,598,9,14,38.69,3,1,0,3,40,0
36700.0,60,16.9,214.51,25000.0,7.45,608,9,13,54.09,8,0,1,2,36,0
49900.0,60,10.32,648.25,48000.0,21.05,634,9,11,47.49,7,1,2,8,49,0
24800.0,60,13.95,646.78,19000.0,32.37,633,9,4,65.09,23,2,1,5,8,0
13200.0,36,11.88,868.69,43000.0,33.52,648,10,2,46.38,15,3,2,0,18,0
12700.0,36,13.14,328.72,58000.0,3.02,609,6,4,72.83,10,1,0,7,41,0
16800.0,36,7.29,657.31,5000.0,29.24,802,9,1,55.92,22,0,1,0,39,1
7800.0,36,9.86,135.4,63000.0,6.62,613,10,11,25.04,18,3,1,4,17,1
16800.0,60,14.75,595.06,38000.0,5.5,713,7,8,31.95,24,3,2,5,30,0
6600.0,60,5.38,515.64,64000.0,17.59,709,7,6,85.0,1,0,2,7,3,0
17700.0,60,6.22,250.12,30000.0,32.47,770,3,2,31.42,7,1,2,8,1,1
3700.0,36,12.6,765.65,50000.0,30.46,761,9,6,37.89,8,1,1,7,19,0
26500.0,60,23.21,958.49,38000.0,11.81,710,7,9,30.94,9,0,2,0,32,0
25800.0,60,6.04,622.85,29000.0,34.79,742,5,1,29.05,10,2,0,1,28,1
6500.0,36,10.01,100.94,84000.0,8.04,644,0,3,31.23,6,1,1,7,21,1
40300.0,36,7.23,824.15,87000.0,13.64,544,0,9,6.41,29,0,2,8,48,0
35200.0,36,4.99,465.32,47000.0,19.65,743,0,11,23.8,17,0,1,2,8,0
36100.0,36,14.28,568.99,72000.0,1.72,659,4,13,5.8,17,3,2,2,38,0
6800.0,60,10.52,543.18,27000.0,32.08,669,9,11,44.78,19,2,2,4,28,0
8000.0,60,4.77,515.08,38000.0,29.99,690,3,14,32.76,22,1,1,5,20,0
3300.0,36,6.35,34.11,37000.0,45.77,753,10,5,48.09,9,1,1,8,34,1
46400.0,60,10.86,1103.66,25000.0,58.65,792,2,4,9.4,10,1,1,4,10,0
38500.0,60,14.52,764.8,27000.0,25.49,682,3,12,9.34,20,1,2,4,8,0
44200.0,60,3.06,333.85,66000.0,31.72,737,4,3,53.08,26,1,1,4,13,1
52400.0,36,13.64,773.9,33000.0,23.2,621,1,8,36.13,5,1,2,5,38,0
25200.0,60,13.88,756.48,30000.0,34.33,746,4,1,60.27,16,0,1,6,4,0
34200.0,60,14.24,34.77,44000.0,12.02,637,1,6,2.88,15,1,2,0,48,1
15800.0,36,10.46,61.67,91000.0,13.08,651,9,11,14.46,27,0,1,9,40,1
10900.0,60,9.0,80.03,34000.0,16.89,754,5,13,12.41,17,0,0,1,7,1
43400.0,60,9.69,301.24,63000.0,2.43,710,4,11,63.63,15,0,1,6,9,1
17600.0,60,16.36,771.37,14000.0,10.35,717,1,2,17.99,26,2,0,3,19,0
34500.0,60,11.07,599.44,51000.0,5.47,685,8,12,26.07,22,0,1,0,44,0
23700.0,60,15.47,279.42,71000.0,1.13,589,8,11,41.87,19,2,1,9,34,1
50500.0,60,4.0,403.96,28000.0,24.04,535,1,12,67.4,21,3,1,3,44,0
31700.0,36,2.4,363.19,67000.0,1.9,724,2,14,49.48,20,1,0,0,7,0
49900.0,36,6.54,188.54,51000.0,11.12,598,7,4,54.99,21,0,0,6,16,0
46500.0,36,19.19,258.85,65000.0,1.15,650,0,10,48.48,19,0,1,1,4,0
46500.0,36,15.31,702.1,99000.0,4.98,769,5,11,52.74,15,0,2,4,38,1
47300.0,60,6.96,782.65,55000.0,39.49,623,8,8,72.3,2,2,0,8,26,0
16500.0,36,5.91,465.11,58000.0,31.26,818,1,3,86.05,6,1,0,2,13,0
33700.0,60,16.87,734.99,54000.0,1.49,633,5,4,16.22,11,1,0,4,38,0
30200.0,60,20.39,1241.53,31000.0,37.79,607,9,10,57.81,19,0,1,7,41,0
35800.0,36,10.22,433.48,83000.0,20.73,652,0,6,49.1,11,0,1,6,17,1
27200.0,60,5.41,23.68,21000.0,41.32,761,8,7,77.33,28,0,2,5,30,1
23200.0,60,7.9,521.93,24000.0,25.16,769,8,2,29.1,28,2,0,8,7,1
20000.0,60,3.76,609.11,31000.0,47.07,831,1,3,72.29,28,0,1,3,11,0
10500.0,36,10.45,465.95,22000.0,23.06,647,10,6,0.0,8,0,2,8,29,1
40800.0,60,16.74,756.06,82000.0,7.03,571,3,6,56.21,23,0,1,0,10,0
23100.0,36,2.88,161.86,43000.0,39.55,744,8,9,7.42,14,2,0,9,5,1
46600.0,60,0.66,1326.96,48000.0,53.63,786,4,1,0.0,29,1,1,3,32,0
27000.0,36,18.8,806.81,54000.0,10.48,635,10,6,61.75,4,1,1,9,38,0
30800.0,36,18.67,861.79,63000.0,3.05,560,9,10,43.78,2,1,1,9,45,0
44200.0,36,4.42,96.99,42000.0,9.19,732,1,9,4.24,12,1,2,5,25,1
23600.0,60,10.58,759.55,60000.0,23.72,722,9,10,0.0,26,1,2,6,33,0
34200.0,36,10.89,262.17,54000.0,9.54,785,0,13,12.63,26,1,2,1,3,1
3100.0,60,6.98,564.87,12000.0,41.7,792,0,10,38.21,6,2,0,9,44,0
56600.0,60,8.31,84.78,34000.0,6.09,693,7,12,37.73,22,1,2,3,8,1
23700.0,36,10.33,753.54,33000.0,17.46,673,1,2,35.69,10,2,2,4,45,0
20700.0,36,10.11,288.35,75000.0,5.46,685,7,7,40.1,8,0,0,5,28,1
24700.0,36,2.26,448.26,30000.0,40.82,653,4,4,67.46,9,2,2,2,13,0
31300.0,60,13.35,511.06,61000.0,10.5,655,8,7,27.05,13,0,0,0,37,0
33800.0,36,15.98,707.11,33000.0,15.54,525,10,14,58.87,4,3,2,4,20,0
17600.0,60,2.91,576.62,51000.0,34.83,779,4,1,22.52,13,0,0,9,19,0
22300.0,36,10.22,203.45,13000.0,23.3,619,9,4,60.8,16,1,0,9,44,0
10300.0,60,10.11,1014.59,34000.0,40.1,659,10,14,36.83,1,1,2,0,29,0
6500.0,36,10.5,589.61,37000.0,37.27,724,7,2,49.05,24,1,0,9,17,1
9100.0,36,10.98,1251.73,6000.0,45.26,678,1,1,72.88,15,0,1,1,19,0
17300.0,60,11.16,567.1,12000.0,28.64,770,9,10,62.22,19,1,0,0,14,1
7500.0,36,8.56,666.63,49000.0,20.02,806,6,6,12.3,27,2,1,6,49,0
37300.0,60,5.93,608.51,20000.0,49.38,668,4,10,41.77,10,1,2,3,18,0
14400.0,60,8.44,493.17,66000.0,3.46,570,0,10,39.54,2,0,1,8,33,1
44500.0,36,4.44,727.49,55000.0,27.95,725,0,11,16.89,25,0,2,1,43,0
16500.0,60,13.11,36.3,43000.0,4.9,640,6,13,61.95,24,2,1,2,49,0
22800.0,60,16.13,421.51,100000.0,7.69,600,4,9,39.9,4,1,2,7,9,1
6000.0,60,10.07,892.04,47000.0,19.2,665,10,13,30.55,21,2,2,9,36,0
50900.0,36,13.44,240.38,77000.0,5.78,618,2,5,15.56,22,0,0,4,16,1
12500.0,60,9.83,228.21,41000.0,4.85,604,1,11,57.49,2,0,0,2,28,1
600.0,36,8.95,945.07,13000.0,11.69,720,3,11,52.43,26,3,1,5,35,1
50400.0,36,4.22,480.29,51000.0,17.16,699,1,3,46.62,13,2,0,7,21,1
61600.0,36,19.56,163.21,68000.0,13.68,582,9,2,37.05,18,1,0,5,26,1
10500.0,36,11.44,802.0,38000.0,29.95,798,8,13,41.94,18,1,1,6,2,0
45800.0,60,8.1,351.08,68000.0,18.91,683,9,6,38.76,3,0,2,6,8,1
1500.0,36,4.11,556.07,58000.0,15.15,649,0,4,16.85,5,3,0,9,31,0
2100.0,36,13.9,574.06,57000.0,7.34,687,9,10,39.62,7,0,0,4,16,0
9000.0,60,16.85,830.43,26000.0,16.84,666,4,10,44.16,3,0,2,3,17,0
36800.0,60,6.65,648.75,21000.0,45.1,729,7,2,63.12,8,2,2,7,0,0
4300.0,36,6.99,763.6,40000.0,30.9,738,6,13,37.55,6,1,0,6,38,0
17700.0,60,8.82,120.45,48000.0,25.81,769,2,12,23.6,27,3,1,7,5,0
35900.0,60,4.21,1465.69,35000.0,87.98,788,1,2,70.2,6,1,2,0,42,0
14900.0,60,10.93,376.97,56000.0,5.37,789,9,1,54.1,23,0,1,3,38,0
14200.0,36,8.18,633.33,19000.0,38.09,739,9,8,55.41,2,0,1,9,15,0
10400.0,60,11.73,978.74,8000.0,57.0,664,8,12,25.13,8,0,1,1,9,0
50700.0,60,16.72,136.22,93000.0,36.93,669,2,12,61.1,13,0,2,2,23,1
23600.0,60,14.84,838.81,51000.0,4.35,627,9,2,75.62,23,1,0,3,28,0
22600.0,36,6.69,263.47,20000.0,26.29,769,1,9,81.99,10,1,0,3,24,1
27400.0,36,11.4,352.33,81000.0,6.07,629,9,14,53.46,24,1,1,9,38,0
4500.0,60,5.85,1235.73,61000.0,33.85,648,9,4,35.95,21,1,2,6,28,0
4900.0,36,3.51,1092.2,64000.0,29.83,732,2,3,68.65,5,0,1,8,24,0
13600.0,36,3.86,30.48,26000.0,22.75,686,7,10,34.03,6,1,0,3,43,0
44400.0,60,21.1,842.11,51000.0,12.56,582,9,11,71.09,28,0,0,7,39,0
19700.0,36,7.3,318.16,26000.0,8.55,764,7,11,64.78,3,1,2,2,44,0
53600.0,36,15.24,846.93,60000.0,22.75,533,8,9,44.41,10,0,0,8,45,0
26800.0,36,10.22,198.56,45000.0,7.48,724,3,8,20.68,8,0,1,2,49,1
37900.0,60,7.13,326.88,54000.0,9.76,755,0,10,25.22,16,0,2,4,10,1
36100.0,36,4.77,219.83,43000.0,24.02,756,3,11,30.39,28,2,0,3,33,1
13500.0,36,7.75,767.69,30000.0,45.53,801,4,14,24.07,1,2,1,3,6,0
78600.0,36,5.14,277.45,62000.0,20.81,635,7,12,43.68,20,0,2,3,47,0
44900.0,36,17.22,729.31,81000.0,16.55,688,8,1,28.99,16,1,1,2,6,1
4400.0,36,7.6,462.91,46000.0,13.86,709,0,1,57.84,17,0,2,5,47,0
20400.0,36,15.63,360.59,58000.0,3.88,637,2,14,39.87,18,1,0,2,33,0
13900.0,36,8.63,120.8,15000.0,40.73,747,3,7,28.6,2,1,2,6,28,1
3900.0,36,7.81,915.17,66000.0,22.05,792,2,11,48.15,12,0,2,3,15,0
40800.0,36,13.18,315.93,50000.0,0.1,646,7,9,35.67,26,0,1,9,9,0
43500.0,60,12.3,711.22,25000.0,30.98,698,4,7,37.23,13,1,1,8,48,0
